program,python_experience,pandas_skill,os,hw0,env,dark_mode,languages,dob,waketime,sleep,favorite_movie,movie_genres,hobbies,num_languages,age
bachelor's (cs),Less than 1 year,1.0,MacOS,😅,mamba/micromamba,True,"english, spanish, portuguese",2003-11-15,1900-01-01 07:45:00,7.5,the social network,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","running, reading, cooking",3,20.0
bachelor's (cs),2-4 years,1.0,MacOS,🍰,mamba/micromamba,True,"english, chinese",2003-06-10,1900-01-01 08:00:00,8,interstellar,"action, sci-fi, mystery/thriller","working out, travelling, watching movies",2,21.0
master's (ds) [extension school],1-2 years,4.0,Windows,😎,pipenv,False,"english, norwegian",1970-08-07,1900-01-01 07:00:00,6.5,moneyball,"action, sci-fi, documentary","running, helping my kids with homework!",2,54.0
master's (ds),1-2 years,2.0,Windows,🧐,mamba/micromamba,False,"english, telugu",,1900-01-01 07:00:00,8,brooklyn,"comedy, drama, romance","art, watching tv",2,
master's (ds),2-4 years,3.0,Windows,😎,conda,True,"chinese, english",2002-02-23,1900-01-01 07:30:00,7,twilight,"action, comedy, mystery/thriller, romance","dancing, shopping, hanging out with friends",2,22.0
master's (ds) [extension school],1-2 years,3.0,Windows,🧐,mamba/micromamba,True,"english, chinese",1989-08-13,1900-01-01 08:00:00,7,step brothers,"action, comedy, sci-fi, fantasy, mystery/thriller, animation","video games, puzzles, football",2,35.0
bachelor's (cs),4+ years,3.0,MacOS,🧐,mamba/micromamba,False,"bangla, english",2003-08-26,1900-01-01 05:00:00,8,a walk to remember,"comedy, drama, romance, documentary",painting,2,21.0
phd,1-2 years,2.0,MacOS,🍰,mamba/micromamba,True,"french, arabic, english",1998-12-07,1900-01-01 08:30:00,7,the joker,documentary,"soccer, tennis, tinkering in electronics ",3,25.0
bachelor's (statistics),Less than 1 year,2.0,MacOS,🧐,other,True,english,2003-04-26,1900-01-01 08:00:00,7,unsure,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, documentary","basketball, ping pong, walking",1,21.0
bachelor's (am),Less than 1 year,1.0,MacOS,😱,mamba/micromamba,True,english,2002-12-11,1900-01-01 08:00:00,8,the princess bride,"comedy, romance","tv, friends, running",1,21.0
bachelor's (cs),2-4 years,4.0,MacOS,🧐,mamba/micromamba,True,english,2003-03-17,1900-01-01 09:30:00,6.5,,"action, drama, romance","playing golf, watching sports, watching movies",1,21.0
bachelor's (cs),1-2 years,2.0,MacOS,🧐,conda,True,english,2002-08-29,1900-01-01 08:00:00,5,there will be blood,"comedy, drama, horror, mystery/thriller","hiking, netflix, sports",1,22.0
bachelor's (cs),Less than 1 year,1.0,MacOS,🧐,conda,False,somali,2002-04-03,1900-01-01 10:00:00,9,me before you,"comedy, mystery/thriller, romance",reading,1,22.0
bachelor's (am),Less than 1 year,1.0,MacOS,😎,conda,False,"kurdish, arabic",2003-01-18,1900-01-01 08:00:00,7,infinity war,action,"one piece , lifting , tech",2,21.0
master in computational biology,2-4 years,4.0,MacOS,🍰,mamba/micromamba,False,"english, mandarin, cantonese",2001-11-12,1900-01-01 07:00:00,7.5,dead poet society,"comedy, sci-fi, romance","watching birds, hiking, singing",3,22.0
cerificate for data science,1-2 years,3.0,Windows,🧐,mamba/micromamba,False,"english,urdu",1985-06-10,1900-01-01 07:00:00,6,,comedy,"binge watching, studying ",1,39.0
bachelor's economics,2-4 years,3.0,Windows,😅,mamba/micromamba,True,"english, portuguese",2002-10-17,1900-01-01 08:00:00,7,,"action, comedy, documentary","volleyball, traveling, working out",2,21.0
bachelor's (cs),2-4 years,2.0,MacOS,😅,mamba/micromamba,True,"english, japanese, mandarin, cantonese",2004-02-04,1900-01-01 08:00:00,6,your name,"comedy, drama, mystery/thriller, romance","badminton, frisbee, dancing",4,20.0
bachelor's (statistics),4+ years,3.0,Windows,😎,mamba/micromamba,False,"english, chinese",2004-09-10,1900-01-01 08:00:00,7,crazy rich asians,"action, comedy, mystery/thriller, romance","dancing, playing piano",2,20.0
master's (ds),2-4 years,4.0,MacOS,🍰,mamba/micromamba,True,"english, mandarin",2002-04-10,1900-01-01 08:00:00,7,star wars,"action, comedy, sci-fi, fantasy","cooking, reading, playing tennis",2,22.0
bachelor's (statistics),2-4 years,4.0,MacOS,😎,mamba/micromamba,True,"english, spanish",,1900-01-01 08:30:00,8,the shawshank redemption,"action, comedy, fantasy","playing music, working out",2,
bachelor's (statistics),1-2 years,1.0,MacOS,🧐,mamba/micromamba,True,"english, mandarin",2004-12-03,1900-01-01 06:30:00,7,everything everywhere all at once,"action, comedy, romance","thrifting, photojournaling, karoake",2,19.0
bachelor's (am),Less than 1 year,1.0,MacOS,😅,conda,True,"serbian, english, swedish",2002-12-02,1900-01-01 08:30:00,9,grand budapest hotel,"comedy, sci-fi","playing soccer, watching one piece",3,21.0
master's (ds),1-2 years,3.0,Windows,😱,conda,False,"english, hindi",2003-10-28,1900-01-01 09:00:00,7,soul,"action, comedy, drama, horror, fantasy","tennis, reading, writing poetry",2,20.0
master's (ds),4+ years,2.0,Windows,🧐,mamba/micromamba,True,"english, bahasa indonesia",1999-10-27,1900-01-01 07:00:00,7,kiki's delivery service,"comedy, sci-fi, fantasy, documentary","tabletop rpgs, playing guitar, cooking",2,24.0
bachelor's (statistics),Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,True,english,2004-03-12,1900-01-01 08:30:00,8,ferris bueller,"action, comedy, drama, mystery/thriller","biking, reading, watching tv dramas",1,20.0
bachelor's (cs),1-2 years,1.0,MacOS,🧐,mamba/micromamba,True,"english, spanish, french, chinese, python, c++",2001-12-25,1900-01-01 07:30:00,7,deadpool & wolverine,"action, comedy, fantasy, romance","photography, binge watching prison break, going to the gym",6,22.0
bachelor's (cs),4+ years,4.0,MacOS,😎,mamba/micromamba,False,"german, cantonese",2002-05-05,1900-01-01 08:10:00,6,hunger games,"action, comedy, drama, romance",,2,22.0
phd,Less than 1 year,1.0,Windows,😅,mamba/micromamba,False,english,,1900-01-01 11:00:00,8,,documentary,,1,
master's (cse),2-4 years,1.0,Windows,🧐,mamba/micromamba,False,"english, french",2001-02-15,1900-01-01 07:30:00,8,interstellar,"action, comedy, horror, sci-fi, mystery/thriller","playing the piano, lifting weights, and traveling",2,23.0
master's (cse),2-4 years,1.0,Windows,🧐,mamba/micromamba,False,"english, french",2001-02-15,1900-01-01 07:30:00,8,interstellar,"action, comedy, horror, sci-fi, mystery/thriller","playing the piano, lifting weights, and traveling",2,23.0
bachelor's (cs),2-4 years,2.0,MacOS,🍰,mamba/micromamba,True,"amharic, tigrinya, english",2003-06-22,1900-01-01 07:00:00,7,interstellar ,"action, comedy, sci-fi, fantasy, mystery/thriller, romance, documentary","making matcha, gymming, listening to music",3,21.0
master's (ds),4+ years,4.0,MacOS,🧐,other,False,chinese,2002-06-26,1900-01-01 11:30:00,8,sherlock,"action, comedy, drama, sci-fi, mystery/thriller","dance, paint, traveling",1,22.0
phd,4+ years,1.0,Windows,😱,pipenv,True,"mandarin, japanese, english",1998-05-20,1900-01-01 10:02:00,7.1,spirited away,"comedy, drama, sci-fi, documentary","hiking, traveling, stamp collecting",3,26.0
bachelor's (history),1-2 years,1.0,MacOS,😎,i don't have a working local environment yet,True,"english,italian,spanish,chinese",2003-05-13,1900-01-01 08:15:00,7,roman holidays,"drama, fantasy","reading,theater,hiking",1,21.0
master's (ds),4+ years,5.0,Windows,🧐,conda,True,"english, cantonese, mandarin, phyrexian",2002-06-30,1900-01-01 08:00:00,8, pride & prejudice,"action, comedy, drama, sci-fi, fantasy, romance","reading, gaming, coding ",4,22.0
bachelor's (government),Less than 1 year,1.0,Windows,😅,mamba/micromamba,False,"english, spanish",2004-01-25,1900-01-01 07:30:00,7,pride and prejudice,"action, comedy, fantasy, romance","choral singing, playing volleyball, exploring coffee shops",2,20.0
bachelor's (cs),1-2 years,3.0,MacOS,🧐,mamba/micromamba,True,english,2005-02-05,1900-01-01 07:30:00,6,10 things i hate about you,"comedy, drama, sci-fi, fantasy, mystery/thriller, romance","going to the gym, shopping, reading",1,19.0
bachelor's (cs),2-4 years,2.0,Windows,🍰,conda,True,english,2004-05-03,1900-01-01 08:30:00,6.5,star wars revenge of the sith,"action, sci-fi, fantasy","video games, clarinet, tennis",1,20.0
bachelor's (am),1-2 years,2.0,MacOS,😎,i don't have a working local environment yet,True,"cantonese, mandarin",2003-02-10,1900-01-01 09:00:00,6,,"action, drama, sci-fi, mystery/thriller, romance","skateboarding, nail art",2,21.0
bachelor's (am),2-4 years,3.0,MacOS,😎,mamba/micromamba,True,"english, chinese, spanish",2003-05-27,1900-01-01 09:00:00,7,la la land,"action, comedy, drama, mystery/thriller","table tennis, sailing, poker",3,21.0
master's (ds),4+ years,5.0,MacOS,🍰,mamba/micromamba,False,"turkish, english",2002-02-28,1900-01-01 11:00:00,8,whiplash,"action, mystery/thriller, documentary","basketball, kayaking, chess",2,22.0
bachelor's (neuro),Less than 1 year,2.0,MacOS,🧐,mamba/micromamba,True,"english, mandarin",2004-04-23,1900-01-01 08:30:00,7,inception!,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance","rock climbing, playing drums, sleeping",2,20.0
master's (ds) [extension school],Less than 1 year,1.0,Windows,🧐,i don't have a working local environment yet,True,"english, french",1997-07-20,1900-01-01 08:00:00,8,uncut gems,"action, comedy, drama, sci-fi, fantasy, mystery/thriller","running, skiing, video games",2,27.0
bachelor's (cs),1-2 years,2.0,MacOS,😎,mamba/micromamba,False,"english, hindi",2004-12-25,1900-01-01 08:00:00,7,hunger games,comedy,"sports, reading, traveling",2,19.0
ba econ,Less than 1 year,1.0,MacOS,😱,i don't have a working local environment yet,False,"mandarin, english",2002-02-01,1900-01-01 09:00:00,6,,"action, comedy, drama",,2,22.0
bachelor's (am),1-2 years,4.0,MacOS,😎,conda,True,"spanish, french, english",2002-12-31,1900-01-01 08:15:00,8,baby driver,"action, comedy","eating, anime, games",3,21.0
bachelor's (cs),Less than 1 year,1.0,Windows,😱,pipenv,True,english,2003-11-18,1900-01-01 09:00:00,8,goodfellas,"action, comedy, sci-fi, mystery/thriller","badminton, cricket, poker",1,20.0
bachelor's (neuro),Less than 1 year,2.0,MacOS,😎,mamba/micromamba,True,"english, spanish",,1900-01-01 07:55:00,6.5,north by northwest,"action, comedy, drama, mystery/thriller, documentary","chess, fencing, photography",2,
bachelor's (cs),2-4 years,3.0,MacOS,😎,mamba/micromamba,True,"english, korean",2004-07-07,1900-01-01 08:15:00,6,,"action, comedy, sci-fi, fantasy, mystery/thriller, romance",,2,20.0
bachelor's (cs),1-2 years,2.0,MacOS,😎,mamba/micromamba,True,english,2004-03-23,1900-01-01 08:00:00,8,goonies,"action, comedy, drama, romance","watching movies, playing soccer, listening to music",1,20.0
ms/mba,Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,True,"english, arabic",1992-11-17,1900-01-01 07:00:00,7,lion king,"action, comedy, drama, documentary","spikeball, reading, hiking",2,31.0
bachelor's (psychology),Less than 1 year,1.0,Windows,🧐,mamba/micromamba,False,"english, mandarin",2004-01-24,1900-01-01 08:00:00,8,your name,"action, comedy, fantasy, romance","traveling, binge watching shows, hanging out with friends",2,20.0
bachelor's (cs),Less than 1 year,1.0,MacOS,😎,mamba/micromamba,True,"spanish, english, ",2004-10-24,1900-01-01 08:15:00,7,the matrix,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","origami, soccer, graphic design",3,19.0
bachelor's (am),2-4 years,3.0,MacOS,😎,mamba/micromamba,True,"english, french, macedonian, serbian, croatian",2003-04-26,1900-01-01 11:00:00,8.5,harry potter,"action, comedy, romance","skiing, playing drums, hiking",5,21.0
,Less than 1 year,1.0,MacOS,🧐,other,True,"spanish, english",2002-12-27,1900-01-01 08:00:00,6,fight club,"drama, horror","playing soccer, listening to music, playing piano",2,21.0
bachelor's (economics),Less than 1 year,2.0,MacOS,🧐,mamba/micromamba,True,"english, korean, spanish",2003-10-16,1900-01-01 08:30:00,7,hunger games,"action, sci-fi, mystery/thriller, romance","dance, running, listening to music",3,20.0
bachelor's (am),2-4 years,3.0,MacOS,🧐,mamba/micromamba,True,"korean, english",2005-01-24,1900-01-01 08:30:00,7,crazy rich asians,"comedy, fantasy, romance","puzzles, card games, baking",2,19.0
bachelor's (cs),2-4 years,2.0,MacOS,😎,mamba/micromamba,True,"amharic, english",2005-09-02,1900-01-01 10:00:00,7,the dark knight,"comedy, drama, sci-fi, mystery/thriller, romance","soccer, reading, singing",2,19.0
master's (ds) [extension school],Less than 1 year,2.0,Windows,🧐,conda,False,chinese ,1975-02-11,1900-01-01 06:00:00,6,the sound of music ,"comedy, romance","hiking, listening to music, traveling ",1,49.0
economics,Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,True,"english, arabic",2003-04-30,1900-01-01 08:00:00,6,the parent trap,"action, comedy, drama, fantasy, mystery/thriller, romance","playing puzzles, reading, hanging out with friends",2,21.0
master's (ds),4+ years,4.0,MacOS,🍰,mamba/micromamba,True,"english, telugu",2002-03-14,1900-01-01 09:00:00,7,,"action, comedy, mystery/thriller","playing/watching sports, coin collecting, djing",2,22.0
bachelor's (heb/neuro),1-2 years,3.0,MacOS,😅,mamba/micromamba,True,"english, spanish, arabic",2003-09-25,1900-01-01 08:00:00,7,captain america: the first avenger,"action, comedy, sci-fi, mystery/thriller","piano, basketball, kitesurfing",3,20.0
master's (ds) [extension school],Less than 1 year,2.0,MacOS,🧐,i don't have a working local environment yet,True,"romanian, english, spanish",1997-09-16,1900-01-01 07:00:00,7,kill bill,"action, comedy, drama, mystery/thriller, romance","tennis, skiing, reading",3,26.0
"extension school, pursuing master's",1-2 years,1.0,Windows,🧐,conda,True,"english, german",1999-06-21,1900-01-01 07:00:00,8,the grand budapest hotel,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance","running, cooking, coding",2,25.0
ms/mba,2-4 years,3.0,MacOS,😎,conda,False,chinese,2000-11-23,1900-01-01 09:30:00,8 hours,flipped,"comedy, drama, horror, mystery/thriller, romance","painting, reading, baking",1,23.0
"bachelor's (music, neuroscience)",Less than 1 year,1.0,MacOS,😅,mamba/micromamba,True,"english, mandarin",2003-09-18,1900-01-01 07:30:00,6,everything everywhere all at once,"comedy, drama, sci-fi, fantasy, documentary","playing piano, singing, cooking",2,20.0
bachelor's (am),Less than 1 year,1.0,MacOS,😅,mamba/micromamba,False,"hindi, urdu, punjabi, english",,,6,,,,4,
master's (ds) [extension school],1-2 years,3.0,Windows,🧐,mamba/micromamba,False,"portuguese, english, french, italian",1989-07-08,1900-01-01 08:30:00,8,interstellar,"comedy, sci-fi","riding skate, playing guitar, playing soccer",4,35.0
master's (ds) [extension school],4+ years,4.0,Windows,🍰,other,True,"english, hindi",2001-05-01,1900-01-01 08:30:00,6,,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","football, music, finding new things",2,23.0
bachelor's (am),1-2 years,2.0,MacOS,☠️,mamba/micromamba,False,"english, hindi, spanish",2003-03-30,1900-01-01 13:00:00,5,saving private ryan,"action, comedy, sci-fi, fantasy",,3,21.0
bachelor's (statistics),2-4 years,3.0,MacOS,😎,mamba/micromamba,False,"english, chinese",2004-09-18,1900-01-01 09:00:00,7,matrix,"action, comedy, drama, romance","tennis, movies, biking",2,19.0
master's (ds) [extension school],2-4 years,3.0,Windows,🧐,mamba/micromamba,False,english,1982-12-15,1900-01-01 04:00:00,5,eternal sunshine of the spotless mind,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","running, weightlifting, watching sports",1,41.0
bachelor's  (ec) -- cs secondary,1-2 years,2.0,MacOS,😎,mamba/micromamba,False,english and chinese,2002-02-12,1900-01-01 08:00:00,6.75,the big short,"comedy, fantasy, mystery/thriller, romance, documentary","running, reading, singing",1,22.0
bachelor's (cs),Less than 1 year,2.0,MacOS,🧐,mamba/micromamba,False,"english, arabic",2003-10-03,1900-01-01 08:00:00,7,the king,"action, drama, mystery/thriller","shopping, netflix, walks",2,20.0
bachelor's (environmental science and public policy),Less than 1 year,1.0,MacOS,🧐,i don't have a working local environment yet,False,english,2003-01-02,1900-01-01 06:00:00,6.5,reservoir dogs,"action, mystery/thriller, documentary","cooking, thrifting, hiking",1,21.0
bachelor's (neuroscience),Less than 1 year,1.0,MacOS,😱,i don't have a working local environment yet,False,english,2003-09-10,1900-01-01 08:00:00,5,whiplash,"drama, sci-fi, fantasy","making art, going to art museums, playing piano",1,21.0
master's (ds) [extension school],1-2 years,2.0,Windows,🧐,mamba/micromamba,False,"french, german",1979-09-06,1900-01-01 07:30:00,8,empire strikes back,"action, comedy, horror, sci-fi","star trek, watching latest movies & syfy shows, spending time with my daughter",2,45.0
master's (mde),Less than 1 year,1.0,Windows,😅,i don't have a working local environment yet,True,mandarin cantonese,1997-03-13,1900-01-01 06:00:00,6,perfume,"action, comedy, drama, sci-fi, fantasy","listening music, watching movies, playing games",1,27.0
bachelor's (am),2-4 years,4.0,Windows,😅,conda,True,"english (fluent), spanish (working proficiency)",2004-01-23,1900-01-01 06:30:00,6,star wars: return of the jedi,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","playing cello, scuba diving, drone cinematography",2,20.0
bachelor's (bme),Less than 1 year,1.0,MacOS,🧐,conda,True,english,2003-09-26,1900-01-01 07:00:00,7,interstellar,"action, comedy, sci-fi, fantasy, romance",,1,20.0
bachelor's (am),Less than 1 year,2.0,MacOS,😅,mamba/micromamba,False,"portuguese (elementary), spanish (elementary)",2003-12-18,1900-01-01 06:30:00,6-7,flipped,"drama, sci-fi, romance, documentary","listening to music, playing music, watching movies",2,20.0
master's (ds),4+ years,5.0,MacOS,🍰,mamba/micromamba,True,"english, mandarin ",2001-10-17,1900-01-01 07:30:00,8,mission impossible ,"action, comedy, drama","playing sports, watching sports, playing games",2,22.0
bachelor's (cs),1-2 years,3.0,MacOS,😅,conda,True,english,2003-07-08,1900-01-01 07:00:00,6,interstellar,"comedy, sci-fi, mystery/thriller, romance","hiking, reading, traveling",1,21.0
bachelor's (statistics),Less than 1 year,1.0,MacOS,😅,mamba/micromamba,True,"nepali, hindi",2004-08-25,1900-01-01 07:30:00,7,,"action, comedy, drama, romance",,2,20.0
bachelor's (am),1-2 years,1.0,MacOS,😅,mamba/micromamba,True,english,2003-08-13,1900-01-01 08:30:00,8,everything everywhere all at once,"fantasy, romance","musical theater, playing board games, theme parks",1,21.0
bachelor's (econ) ,Less than 1 year,2.0,MacOS,😅,mamba/micromamba,True,"vietnamese, english",2003-10-11,1900-01-01 08:00:00,6.5,eternal sunshine of the spotless mind,"comedy, romance","eating, gymming, cafe hopping",2,20.0
phd,Less than 1 year,1.0,Windows,😅,mamba/micromamba,False,english,1998-01-15,1900-01-01 06:00:00,7,,,"crossfit, weightlifting, paddle boarding ",1,26.0
bachelor's (cs),Less than 1 year,1.0,MacOS,😅,mamba/micromamba,True,"english, swahili",2002-10-22,1900-01-01 08:00:00,5,blended,"comedy, mystery/thriller","reading, binge watching, trying new restaurants",2,21.0
bachelor's (am),1-2 years,3.0,MacOS,😎,mamba/micromamba,True,english,2004-06-23,1900-01-01 08:15:00,7.5,her,"sci-fi, fantasy, mystery/thriller","hiking, watching movies, spikeball",1,20.0
bachelor's (statistics),4+ years,1.0,MacOS,🍰,mamba/micromamba,False,english,2002-05-27,1900-01-01 08:30:00,7.5,knives out,"action, comedy, mystery/thriller","playing spikeball, watching tv, swimming",1,22.0
bachelor's (cs),4+ years,2.0,MacOS,🧐,other,True,"chinese,english,french",2003-06-01,1900-01-01 07:00:00,6,bilocation,horror,"running,eating,travelling",1,21.0
bachelor's (integrative biology),Less than 1 year,1.0,MacOS,😅,mamba/micromamba,False,"english, spanish",2003-01-10,1900-01-01 07:00:00,8,shawshank redemption,"action, comedy, drama, sci-fi, romance, documentary","soccer, art, surfing",2,21.0
bachelor's (am),Less than 1 year,1.0,MacOS,😅,mamba/micromamba,False,english,2004-01-19,1900-01-01 08:00:00,7 hours,crazy rich asians ,"action, comedy, mystery/thriller","playing the french horn, collecting rocks, eating good food",1,20.0
master's (ds) [extension school],4+ years,4.0,MacOS,😎,mamba/micromamba,True,english,1992-12-24,1900-01-01 07:00:00,6.5,chinatown,"action, comedy, drama, mystery/thriller","running, videogames, reading",1,31.0
ms/mba,1-2 years,2.0,Windows,🧐,mamba/micromamba,True,"english, spanish, italian",1994-03-01,1900-01-01 06:00:00,7.5,true grit,"action, comedy, documentary","volleyball, fishing",3,30.0
bachelor's (cs),4+ years,4.0,MacOS,🧐,venv,True,"english, french, kinyarwanda, spanish",2000-10-14,1900-01-01 07:00:00,4,interstellar,"action, comedy, sci-fi, fantasy, mystery/thriller","basketball, music, travel",4,23.0
bachelor's (cs),2-4 years,4.0,MacOS,😎,mamba/micromamba,False,"english, chinese",2002-02-16,1900-01-01 07:15:00,7,inception,"horror, mystery/thriller","poker, cooking, running",2,22.0
phd,Less than 1 year,1.0,Windows,☠️,mamba/micromamba,True,"english, farsi",2001-07-27,1900-01-01 08:00:00,7.5,interstellar,"horror, sci-fi, fantasy","guitar, reading, soccer",2,23.0
bachelor's (cs),2-4 years,1.0,MacOS,😅,mamba/micromamba,True,"chinese, english, korean",1996-05-16,1900-01-01 08:00:00,6,interstellar,"action, sci-fi, mystery/thriller","surfing, gym, botany",3,28.0
master's (cse),4+ years,4.0,MacOS,😎,conda,True,nerd,1994-09-23,1900-01-01 07:00:00,8,how to train your dragon,"action, comedy, horror, sci-fi, fantasy","skydiving, homebrewing, reading",1,29.0
bachelor's (am),1-2 years,1.0,MacOS,🧐,i don't have a working local environment yet,False,"arabic, french",2004-02-23,1900-01-01 08:00:00,8,how to lose a guy in 10 days,"drama, romance","reading, coffee shop hopping, piano",2,20.0
phd,4+ years,2.0,Windows,😎,mamba/micromamba,False,"english, spanish",2001-03-11,1900-01-01 07:45:00,7,anne of green gables,"action, comedy, drama","playing violin, making polymer-clay jewelry, cooking",2,23.0
bachelor's (cs),1-2 years,1.0,MacOS,🧐,mamba/micromamba,True,"english, mandarin",2003-10-07,1900-01-01 10:30:00,6,lalaland,"action, comedy, drama, romance","dance, watercolor painting, playing the ukulele",2,20.0
batchelor's (neuroscience),4+ years,2.0,MacOS,😱,mamba/micromamba,True,"english, hebrew, french",2001-11-08,1900-01-01 08:15:00,7.5,,"comedy, romance",,3,22.0
bachelor's (cs),4+ years,2.0,Windows,😎,mamba/micromamba,False,"english, mandarin",2006-07-20,1900-01-01 08:25:00,8.25,wreck-it ralph,"comedy, fantasy, mystery/thriller, romance","playing board games, playing guitar, watching youtube",2,18.0
bachelor's (statistics),1-2 years,1.0,Windows,😎,mamba/micromamba,True,"english, serbian",2024-09-11,1900-01-01 09:00:00,7,"the good, the bad, and the ugly","action, comedy, drama, horror, sci-fi, mystery/thriller, documentary","bjj, boxing, chess",2,0.0
master's (ds),2-4 years,2.0,MacOS,🧐,mamba/micromamba,True,english,2002-04-17,1900-01-01 07:30:00,7 hours,inception,"action, comedy, romance","origami, juggling, close up magic",1,22.0
bachelor's (statistics),Less than 1 year,1.0,MacOS,🧐,mamba/micromamba,True,english,2003-09-18,1900-01-01 06:30:00,8,the sweet smell of success,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","tennis, climbing, playing piano",1,20.0
bachelor's (am),1-2 years,3.0,MacOS,🧐,mamba/micromamba,False,"english, mandarin",2003-06-28,1900-01-01 09:00:00,7,harry potter 5,"action, comedy, horror","golfing, cooking, pilates",2,21.0
master's (ds),4+ years,5.0,MacOS,😎,mamba/micromamba,False,"english, french, chinese",2003-07-25,1900-01-01 06:29:00,8,eternal sunshine of the spotless mind,"action, comedy, sci-fi, mystery/thriller","hiking, spin classes, art",3,21.0
master's (ds),1-2 years,2.0,MacOS,😅,mamba/micromamba,True,"english, greek, hindi",2003-01-19,1900-01-01 06:00:00,7,mamma mia,"action, comedy, drama, romance","ballet, travel ",3,21.0
phd,2-4 years,3.0,Windows,😎,mamba/micromamba,True,english,2001-12-25,1900-01-01 07:15:00,8,,"comedy, mystery/thriller","quilting, dance, cycling",1,22.0
bachelor's (economics with cs secondary),1-2 years,1.0,MacOS,😅,mamba/micromamba,False,english,2002-09-19,1900-01-01 09:00:00,7,the departed,action,"squash, hiking, watching football",1,21.0
master's (ds),2-4 years,3.0,MacOS,😅,mamba/micromamba,True,"english, french",2002-10-06,1900-01-01 08:00:00,7.5 hours,good will hunting,"comedy, mystery/thriller, romance, documentary","weight lifting, reading, binge watching reality tv",2,21.0
bachelor's (am),Less than 1 year,1.0,Windows,🍰,mamba/micromamba,True,"english, ukrainian, russian",2004-10-01,1900-01-01 07:45:00,7,godfather,"drama, sci-fi, mystery/thriller","chess, bosing, f1",3,19.0
phd,1-2 years,3.0,MacOS,😎,venv,False,english,1998-07-15,1900-01-01 07:30:00,7,the dark knight,action,running;,1,26.0
bachelor's (am),Less than 1 year,2.0,MacOS,😅,mamba/micromamba,False,"english, mandarin",2004-04-23,1900-01-01 08:00:00,6-7,kung fu panda,"action, mystery/thriller","chess, movies, servicing the plot",2,20.0
bachelor's (cs),1-2 years,2.0,MacOS,🧐,mamba/micromamba,True,"english, chinese, spanish",2004-04-24,1900-01-01 10:30:00,6,everything everywhere all at once,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, documentary","playing guitar, reading, lifting",3,20.0
bachelor's (am),Less than 1 year,1.0,Windows,😅,mamba/micromamba,False,english,2001-09-26,1900-01-01 08:15:00,7,"everything, everywhere, all at once","action, comedy, sci-fi, mystery/thriller","comedy, basketball, running",1,22.0
phd,Less than 1 year,1.0,MacOS,😅,mamba/micromamba,False,"english, korean",1997-12-17,1900-01-01 08:00:00,7,,"action, comedy, mystery/thriller","playing golf, watching movies, ",2,26.0
bachelor's (statistics),1-2 years,2.0,Windows,😅,mamba/micromamba,False,"english, spanish",2000-12-25,1900-01-01 11:00:00,6,,documentary,"singing, thrifting, reading queer romance novels",2,23.0
bachelor's (cs),1-2 years,2.0,MacOS,😅,mamba/micromamba,True,"spanish, english",2003-05-17,1900-01-01 08:00:00,7,two weeks notice,"comedy, drama, fantasy, romance, documentary","painting, watching movies, reading",2,21.0
bachelor's (cs),4+ years,2.0,MacOS,😎,mamba/micromamba,True,"spanish, english",2002-11-03,1900-01-01 05:00:00,6,el cuarto pasajero,"action, comedy, sci-fi, documentary","guitar, coding, youtube",2,21.0
bachelor's (cs),2-4 years,3.0,MacOS,😎,mamba/micromamba,True,"english, punjabi, hindi, urdu",2004-02-01,1900-01-01 07:00:00,6,i dont watch movies,"action, drama, sci-fi, romance",curling,4,20.0
bachelor's (statistics),1-2 years,3.0,MacOS,😎,mamba/micromamba,True,"english, chinese, spanish",2005-02-14,1900-01-01 08:40:00,8,inception,"action, comedy, sci-fi, documentary","golf, cooking, learning",3,19.0
bachelor's (statistics),1-2 years,3.0,MacOS,😎,mamba/micromamba,False,english,2003-04-01,1900-01-01 08:15:00,7 1/2,real steel ,"action, sci-fi, fantasy, mystery/thriller","playing video games, watching anime, working out ",1,21.0
bachelor's (cs),1-2 years,2.0,MacOS,🧐,mamba/micromamba,True,"english, telugu, spanish",2002-11-25,1900-01-01 08:00:00,8,boss baby,"comedy, drama, horror, mystery/thriller, documentary","running, swimming, jumping",3,21.0
bachelor's (statistics),Less than 1 year,1.0,MacOS,😅,mamba/micromamba,False,"english, korean",2001-12-13,1900-01-01 05:22:00,6.5,everything everywhere all at once,documentary,"swimming, surfing, piano",2,22.0
bachelor's (economics),Less than 1 year,1.0,Windows,🧐,mamba/micromamba,True,"english, spanish, bengali",2004-09-02,1900-01-01 08:40:00,4.5,interstellar,"action, horror, mystery/thriller","playing piano, chess, and soccer",3,20.0
